month;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Janeiro;5293;6837;7240;7013;6390;6595;6824;6253;6128;5805;5764
Fevereiro;7331;6275;6547;6077;5996;5746;5988;5695;5513;4839;4804
Março;7378;7398;7538;7204;6682;6925;6049;6907;6206;6371;5734
Abril;8640;7910;8638;7857;7113;7978;7037;7702;7629;6804;6333
Maio;8576;8824;10118;9455;8157;9186;8553;8626;9907;8516;7016
Junho;9561;10142;10648;12448;10471;10412;10200;10257;10979;10521;8536
Julho;12711;12874;11765;12809;12636;12702;11447;12048;11886;11684;10871
Agosto;12310;16896;11589;11040;12804;12214;10956;11213;11069;10461;11164
Setembro;10959;12908;11687;10026;10212;10852;10476;9408;9898;9040;10263
Outubro;11316;11820;11072;9557;10076;10501;9930;8749;9680;8169;8801
Novembro;9315;10201;10407;8411;9011;9283;8698;8668;8115;7731;7372
Dezembro;8765;8172;9101;6954;6824;7905;7451;7369;7293;6814;6110
